"Nid","School code","School name","Location","Country","Intl GPA","US GPA","Notes"
"16","7217738","Beijing Institute of Technology","Beijing","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","This is the DEFAULT China Chart"
"17","7210470","Beijing Jiaotong University","Beijing","China","100/86/81/76/71/66","4.0/3.6/3.3/3.0/2.7/2.0","A+ = 100-91, A = 90-86, B+ = 85-81, B = 80-76, C+ = 75-71, C = 70-66"
"450","","Beijing Normal University - 100-scale","Beijing","China","100/90/80/70","4.0/3.6/3.0/2.0","90-100 = A/Excellent; 80-89 = B/Good; 70-79 = C/Satisfactory"
"18","7110449","Beijing Normal University - Hong Kong Baptist University, United International College","","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"19","","Beijing University of Chemical Technology","","China","100/85/82/78/75/72/68","4.0/3.6/3.3/3.0/2.7/2.3/2.0","A+ = 95-100; A = 90-94; A- = 85-89; B+ = 82-84; B = 78-81; B- = 75-77; C+ = 72-74; C = 68-71"
"458","","Beijing University of Civil Engineering and Architecture","","China","100/90/85/82/78/75/72/68","4.0/3.9/3.7/3.3/3.0/2.7/2.3/2.0","90-100 = 4.0; 85-89 = 3.7; 82-84 = 3.3; 78-81 = 3.0; 75-77 = 2.7; 72-74 = 2.3; 68-71 = 2.0"
"20","7217335","Beijing University of Posts and Telecommunications","Beijing","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79; D = 60-69"
"430","","Beijing University of Technology-Dublin International College","Beijing/Dublin","China","4.2/4.0/3.8/3.6/3.4/3.2/2.8","4.0/4.0/3.7/3.3/3.0/2.7/2.0","3.8-4.2 = Excellence, 3.2-3.6 = Very Good, 2.6-3.0 = Good, 2.0-2.4 = Acceptable"
"21","7210479","Central South University","Changsha","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","This is the DEFAULT China Chart"
"22","7211777","Chang'an University","Xian","China","100/90/80/70/60","4.0/3.6/3.0/2.0/1.0","A = 90-100; B = 80-89; C = 70-79; D = 60-69"
"368","","China University of Mining and Technology","Beijing","China","100/85/80/75/70/67/65","4.0/3.7/3.3/3.0/2.7/2.3/2.0","90-100 = 4.0; 85-90 = 3.7; 80-85 = 3.3; 75-80 = 3.0; 70-75 = 2.7; 67-70 = 2.0; 65-67 = 2.0"
"23","","China University of Petroleum (East China)","","China","100/90/80/70/60","4.0/3.6/3.0/2.0/1.0","A = 100-90; B = 80-89; C = 70-79; D = 60-69"
"460","","China Univesity of Geosciences","","China","100/95/90/85/80/75/70","4.0/3.75/3.6/3.3/3.0/2.5/2.0","100=5.0, 95-100=4.5, 90-95=4.0, 85-90=3.5, 80-85=3.0, 75-80=2.5,70-75=2.0"
"24","7217680","Chongqing University","Chongqing","China","100/90/80/70/60","4.0/3.6/3.0/2.0/1.0","A = 90-100; B = 80-89; C = 70-79; D = 60-69"
"25","","Chongqing University of Posts and Telecommunications","","China","100/85/82/78/75/72/68","4.0/3.6/3.3/3.0/2.7/2.3/2.0","90=A, 85-89=A-, 82-84=B+, 78-81=B, 75-77+B-, 72-74=C+, 68-71=C"
"26","","Dalian Maritime University","","China","100/90/80/70/60","4.0/3.6/3.0/2.0/1.0","A = 90-100; B = 80-89; C = 70-79; D = 60-69"
"27","","Dalian University of Technology","Dalian","China","100/85/80/75/65/60","4.0/3.6/3.3/3.0/2.3/2.0","A+ = 100-95; A = 94-85; B+ = 84-80; B = 79-75; C+ = 74-65; C = 64-60"
"28","","Dalian University of Technology (Graduate)","","China","100/85/70/60","4.0/3.6/3.0/2.0","100-85 = 4.0; 84-70 = 3.0; 69-60 = 2.0; 59-0 = 0"
"29","9802731","DEFAULT China","","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0",""
"387","","Donghua University","","China","5.0/4.5/4.0/3.5/3.0/2.5","4.0/3.85/3.7/3.3/3.0/2.5","100=5.0, 95=4.5, 90=4.0, 85= 4.0, 80= 3.0"
"445","","East China Jiaotong University","","China","100/95/85/75","4.0/3.6/3.0/2.0","Excellent = 9 5 = 4.5, Good = 85 = 3.5, Medium = 75 = 2.5"
"30","82569132","East China University of Science and Technology (ECUST)","Shanghai","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"31","7116407","Fudan University","Shanghai","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"32","","Fuzhou University Zhicheng College","","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"33","7210532","Guangdong University of Technology","Guangzhou","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","This is the DEFAULT China Chart"
"34","","Guilin University of Electronic Technology","","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-89"
"35","7217347","Hangzhou Dianzi University","Hangzhou/Zhejiang","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","This is the DEFAULT China Chart"
"429","","Hangzhou Dianzi University - 5 pt scale","Hangzhou/Zhejiang","China","5.0/4.5/4.4/4.0/3.5/3.0","4.0/3.7/3.3/3.0/2.7/2.0","5.0 = A, 4.0 = B, 3.0 = C, 2.0 = D"
"36","7211987","Harbin Engineering University (Formerly Harbin Shipbuilding Engineering Institute)","","China","100/90/80/70","4.0/3.6/3.0/2.0","If there is a 4.0 CGPA, use it. A = 90-100; B = 80-89; C = 70-79"
"37","7226871","Harbin Institute of Technology","Harbin","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","This is the DEFAULT China Chart"
"473","","Harbin University of Science and Technology","","China","100/90/80/70","4.0/3.6/3.0/2.0","90-100=A, 80-89=B, 70-79=C"
"38","","Hefei University of Technology","","China","100/85/75/66","4.0/3.6/3.0/2.0","A = 85-100; B = 75-84; C = 66-74"
"39","","Hohai University","","China","5.0/4.5/4.0/3.5/3.0/2.5","4.0/3.6/3.3/3.0/2.7/2.0","5 = 100-90; 4.5 = 89-85; 4.0 = 84-80; 3.5 = 79-75; 3.0 = 74-70; 2.5 = 69-65"
"40","","Hohai University - 100 Point Scale","","China","100/85/75/65","4.0/3.6/3.0/2.0",""
"462","","Huaqiao University - 100-scale","","China","100/90/80/70","4.0/3.6/3.0/2.0","90-100 = A, 80-89 = B, 70-79 = C"
"463","","Huaqiao University - 5.0-scale","","China","5.0/4.0/3.0","4.0/3.0/2.0","5 = A, 4 = B, 3 = C"
"41","7210755","Huazhong University of Science and Technology","Wuhan","China","100/85/70/60","4.0/3.6/2.5/1.5","85-100 = 4.0; 70-84 = 2.5-3.9; 60-69 = 1.5-2.4; Pass = 1.5"
"478","","Hubei University of Technology","","China","100/95/85/80/75","4.0/3.6/3.0/2.5/2.0","95-100 = Excellent, 85-94 = Good, 80-84 = Qualified, 75-79 = Medium"
"479","","Hubei University of Technology","","China","100/95/85/80/75","4.0/3.6/3.0/2.5/2.0","95-100 = Excellent, 85-94 = Good, 80-84 = Qualified, 75-79 = Medium"
"42","","Hunan University","Zhengzhou","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"43","","Jiangnan University","","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"367","","Jiangsu University of Science and Technology","","China","100/95/85/75","4.0/3.6/3.0/2.0","A = 95; B = 85; C = 75"
"44","7222150","Jilin University","Changchun","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"413","","Lanzhou University","","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","A:Excellent 90-100, B: Good 80-89, C:Medium 70-79, D:Passed 60-69 "
"381","","Lanzhou University of Technology","","China","100/85/75/65","4.0/3.6/3.0/2.0","100= 4.0, 85=3.6, 75=3.0, 65= 2.0"
"45","","Lanzhou University of Technology","","China","100/85/70/60","4.0/3.6/3.0/2.0","100-85 = 4.0; 84-70 = 3.0; 69-60 = 2.0; 59-0 = 0"
"335","7217350","Liaoning Shihua University","Dalian","China","100/90/80/70","4.0/3.6/3.0/2.0",""
"419","","Liaoning University","","China","100/95/85/75","4.0/3.6/3.0/2.0","Excellent = 95, Good = 85, Middle = 75"
"371","","Minzu University of China","","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","90-100 = 4.0-5.0; 80-89 = 3.0-3.9; 70-79 = 2.0-2.9"
"46","","Nanchang Hangkong University","","China","100/85/75/65","4.0/3.6/3.0/2.0","A = 100-85; B = 84-75; C = 74-65"
"47","","Nanjing Agricultural University - 100 Point Scale","","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","This is the DEFAULT China Chart"
"48","","Nanjing Agricultural University - 4.5 Point Scale","","China","4.5/4.0/3.5/3.0/2.5/2.0","4.0/3.7/3.3/3.0/2.3/2.0","4.5 = 100-95; 4.0 = 94-90; 3.5 = 89-85; 3.0 = 84-80; 2.5 = 79-75; 2.0 = 74-70"
"49","","Nanjing Forestry University - 100 Point Scale","","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 100-95 & 94-90; B = 89-85 & 84-80; C = 79-75 & 74-70"
"50","","Nanjing Forestry University - 4.5 Point Scale","","China","4.5/4.0/3.5/3.0/2.5/2.0","4.0/3.7/3.3/3.0/2.3/2.0","4.5 = 100-95; 4.0 = 94-90; 3.5 = 89-85; 3.0 = 84-80; 2.5 = 79-75; 2.0 = 74-70"
"51","7211192","Nanjing Normal University","Nanjing","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"358","","Nanjing Tech University (after 2015)","Nanjing","China","100/86/82/79/75/71/68","4.0/3.7/3.3/3.0/2.7/2.3/2.0","90+ = 4.0, 89-86 = 3.7, 85-82 = 3.2, 81-79 = 3.0, 78-75 = 2.7, 74-71 = 2.3, 70-68 = 2.0"
"52","7217664","Nanjing University","Nanjing","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"53","","Nanjing University of Aeronautics and Astronautics","","China","5.0/4.0/3.0/2.0","4.0/3.6/3.0/2.0","90-100 = 4-5; 80-90 = 3-4; 70-80 = 2-3"
"54","7218194","Nanjing University of Posts and Telecommunications","Nanjing","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","This is the DEFAULT China Chart"
"386","","Nanjing University of Posts and Telecommunications - 5.0 Point Scale","","China","5.0/4.0/3.0/2.0","4.0/3.6/3.0/2.0","A = 4.0-5.0; B = 3.0-3.9; C = 2.0-2.9"
"55","7210490","Nanjing University of Science and Technology","Nanjing","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"56","7219917","Nankai University","Tianjin","China","100/85/80/75/70","4.0/3.6/3.0/2.7/2.0","A = 90-100; A- = 85-89; B = 80-84; B- = 75-79; C = 70-74"
"389","","Nantong University","","China","100/95/85/75","4.0/3.6/3.0/2.0","Excellent = 95, Good = 85, Average = 75"
"57","","North China Electric Power University","","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","This is the DEFAULT China Chart"
"58","7210608","North China University of Technology","Beijing","China","100/86/71/66","4.0/3.6/3.0/2.0","A = 86-100; B = 71-85; C = 66-70"
"467","","Northeast Agricultural University","","China","100/90/80/70","4.0/3.6/3.0/2.0","90=A, 80=B, 70=C"
"392","","Northeastern University","","China","5.0/4.5/3.5/2.5","4.0/3.8/3.28/2.5","A (95), B (85), C (75), D (65), F (0)"
"59","7217415","Northeastern University at Qinhuangdao","Qinhuangdao/Hebei","China","100/90/80/70","4.0/3.6/3.0/2.0","Excellent = 90-100; Good = 80-89; Medium = 70-79"
"60","","Northwest A&F University","","China","100/90/80/70","4.0/3.6/3.0/2.0","Excellent = 90-100; Good = 80-89; Medium = 70-79"
"61","7213706","Northwestern Polytechnical University","Xian","China","100/85/80/75/70/67/65","4.0/3.6/3.3/3.0/2.7/2.3/2.0","A+ = 95-100; A = 90-94.9; A- = 85-89.9; B+ = 80-84.9; B = 75-79.9; B- = 70-74.9; C+ = 67-69.9; C = 65-66.9"
"332","7219173","Ocean University of China","Qingdao","China","100/90/85/81/78/75/71/68","4.0/3.9/3.7/3.3/3.0/2.7/2.3/2.0",""
"62","7110266","Peking University","Peking","China","100/85/81/78/75/72/68","4.0/3.6/3.3/3.0/2.7/2.3/2.0","A+ = 95-100; A = 90-94; A- = 85-89; B+ = 81-84; B = 78-80; B- = 75-77; C+ = 72-74; C = 68-71"
"327","7215128","Qingdao University of Science & Technology","Qingdao","China","","","Use Default China scale"
"63","7210854","Shandong University","Unknown","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"64","7210254","Shanghai Jiaotong University - After 2005","Shanghai","China","100/85/80/75/70/67/65/62","4.0/3.7/3.3/3.0/2.7/2.3/2.0/1.7","A = 90-100; A- = 85-90; B+ = 80-85; B = 75-80; B- = 70-75; C+ = 67-70; C = 65-67; C- = 62-65"
"65","","Shanghai Jiaotong University - Before 2004","","China","100/85/75/60","4.0/3.6/3.0/2.0","A = 85-100; B = 75-85; C = 70-75 & 60-70"
"66","7210664","Shanghai Maritime University","Shanghai","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"67","","Shanghai Normal University - After 2014","","China","100/90/85/80/75/70","4.0/3.6/3.3/3.0/2.3/2.0","A = 100-90; B+ = 89-85; B = 84-80; C+ = 79-75; C = 74-70"
"68","","Shanghai Normal University - Before 2013","","China","100/90/80/70","4.0/3.6/3.0/2.0","Excellent = 90-100; Good = 80-89; Fair = 70-79"
"69","7110366","Shanghai University","Shanghai","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"356","","Shenyang Ligong University","","China","100/90/80/70","4.0/3.6/3.0/2.0","90-100 (Excellent) = 4.0-5.0, 80-89 (Good) = 300-3.9, 70-79 (Middle) = 2.0-2.9"
"461","","Sichuan Agricultural University","","China","100/90/80/70","4.0/3.6/3.0/2.0","90-100=4.0, 80-89=3.0, 70-79=2.0"
"70","7218436","Sichuan University","Cheng Du","China","100/85/75/60","4.0/3.6/2.7/1.0",""
"464","","South China Agricultural University","","China","100/90/80/70","4.0/3.6/3.0/2.0","90-100 = A, 80-89 = B, 70-79 = C"
"71","7219202","South China Normal University","Guangzhou","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 100-90; B = 89-80; C = 79-70"
"414","","South China Normal University - 5 point scale","","China","5.0/4.0/3.0/2.0","4.0/3.6/3.0/2.0","A = 4.0-5.0; B = 3.0-3.9; C = 2.0-2.9"
"72","7214200","South China University of Technology","","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","This is the DEFAULT China Chart"
"384","","South China University of Technology - 4.0 scale","","China","4.0/3.7/3.3/3.0/2.7/2.3","4.0/3.3/3.0/2.7/2.3/2.0",""
"73","","Southeast University","Nangjing","China","100/85/75/60","4.0/3.6/3.0/2.0","A = 100-85; B = 84-75; C = 74-60 (Use GPA on transcript if shown)"
"74","","Southern Medical University","","China","100/88/75/65","4.0/3.6/3.0/2.0","A = 88-100; B = 75-87; C = 65-74"
"385","","Southern University of Science and Technology","","China","4/3.94/3.85/3.73/3.55/3.32/3.09/2.78","4/3.9/3.7/3.3/3.0/2.7/2.3/2.0","A+ = 4, A = 3.94, A- = 3.85, B+ = 3.73, B = 3.55, B- = 3.32, C+ = 3.09, C = 2.78"
"75","","Southwest Jiaotong University","","China","100/85/82/78/75/72/68","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0 = 90-100; 3.7 = 85-89; 3.3 = 82-84; 3.0 = 78-81; 2.7 = 75-77; 2.3 = 72-74; 2.0 = 68-71"
"469","","Southwest Petroleum University","","China","100/95/85/75","4.0/3.6/3.0/2.0","95=A, 85=B, 75=C"
"76","7110212","Sun Yat-Sen University - 100 Point Scale","","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"77","","Sun Yat-Sen University - 5.0 Point Scale","","China","5.0/4.0/3.0/2.0","4.0/3.6/3.0/2.0","A = 4.0-5.0; B = 3.0-3.9; C = 2.0-2.9"
"78","","The Sino-British College","","China","100/70/60/50","4.0/3.6/3.0/2.0","A* = 80+; A = 70-79; B = 60-69; C = 50-59"
"397","","The University of Nottingham China","Ningbo","China","100/65/60/55/50/45/43","4.0/3.6/3.3/3.0/2.7/2.3/2.0","A = 70+; A- = 65; B+ = 60; B = 55; B- = 50; C+ = 45; C = 43 (Follows UK mark scale)"
"80","7210545","Tianjin University","","China","100/89/84/81/77/74/71","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"81","7210461","Tianjin University of Science and Technology","Tianjin","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"427","","Tianjin University of Technology","","China","5.0/4.5/4.0/3.5/3.0/2.5","4.0/3.85/3.7/3.3/3.0/2.5","100=5.0, 95=4.5, 90=4.0, 85= 4.0, 80= 3.0"
"83","7115141","Tong-ji University - 100 Point Scale","","China","100/90/80/70","4.0/3.6/3.0/2.0","A (90-100) = 5; B (80-89) = 4; C (70-79) = 3; D (60-69) = 2"
"369","","Tongji University - 100-point scale","Hubei","China","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"82","","Tongji University - 5.0 Scale","Hubei","China","5/4/3/2","4/3/2/1","Enter Chinese 5.0 CGPA to convert. A (90-100) = 5; B (80-89) = 4; C (70-79) = 3; D (60-69) = 2"
"317","7210215","Tsinghua University","Beijing","China","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0",""
"431","","Tsinghua University - 4.0 scale","Beijing","China","4.0/3.6/3.3/3.0/2.3","4.0/3.3/3.0/2.7/2.0",""
"84","7217542","University of Electronic Science and Technology of China","Cheng Du","China","100/85/82/78/75/72/68","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Used Centesimal Grade and Point Values"
"85","7212569","University of Macau","Macau","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"86","","University of Science and Technology of China","Beijing","China","100/85/82/78/75/72/68","4.0/3.6/3.3/3.0/2.7/2.3/2.0","A+ = 100-95; A = 94-90; A- = 89-85; B+ = 84-82; B = 81-78; B- = 77-75; C+ = 74-72; C = 71-68"
"87","7210480","University of Science and Technology of China - Beijing","Beijing","China","4.3/4.0/3.7/3.0/2.0","4.0/4.0/3.7/3.0/2.0",""
"318","7118089","University of Science and Technology of China - Hefei","Hefei","China","4.3/4.0/3.7/3.0/2.0","4.0/4.0/3.7/3.0/2.0",""
"88","","University of Shanghai For Science and Technology","","China","100/90/85/80/75/70","4.0/3.75/3.5/3.0/2.5/2.0","A = 95-100 & 90-94; B = 85-89; B- = 80-84; C+ = 75-79; C = 70-74"
"465","","University of Waterloo","","China","100/85/80/77/73/70/67/63","4.0/3.9/3.8/3.7/3.3/3.0/2.7/2.0","90-100 = A+, 85-89 = A, 80-84 = A-, 77-79 = B+, 73-76 = B, 70-72 = B-, 67-69 = C+, 63-66 = C"
"319","7210471","Wuhan Institute of Technology","Wuhan","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"320","7212161","Wuhan University","Wuhan","China","100/85/82/78/68","4.0/3.7/3.3/3.0/2.0","4.0 = 90-100; 3.7 = 85-89; 3.3 = 82-84; 3.0 = 78-81; 2.0 = 65-74"
"89","","Wuhan University of Science and Technology","Wuhan","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"90","7214199","Wuhan University of Technology","Wuhan","China","100/85/75/65","4.0/3.6/3.0/2.0","4.0 = 85-100; 3.0 = 75-84; 2.0 = 65-74"
"93","7212178","Xi'an Jiaotong University","Xi'an","China","100/90/85/81/78/75/72/68","4.0/3.9/3.7/3.3/3.0/2.7/2.3/2.0","A+ = 95-100, A = 90-94, A- = 85-89, B+ = 81-84, B = 78-80, B- = 75-77, C+ = 72-74, C = 68-71"
"377","","Xi'an University of Technology","Xi'an","China","100/85/75/60","4.0/3.6/3.0/2.0","85-100 = High Distinction; 75-84 = Distinction; 65-74 = Credit"
"91","","Xiamen University - After 2012","","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Use Credits and Grades calc sheet to type in US GPA POINTS and credits"
"379","","Xiamen University - After 2012 (100-point scale)","","China","100/90/85/81/78/75/72/68","4.0/3.9/3.7/3.3/3.0/2.7/2.3/2.0","A+ = 95-100; A = 90-94; A- = 85-89; B+ = 81-84; B = 78-80; B- = 75-77; C+ = 72-74; C = 68-71"
"92","","Xiamen University - Between 2002 and 2012","","China","100/85/70/60","4.0/3.6/3.0/2.0","A = 85-100; B = 70-84; C = 60-69; F = 0-59"
"94","7216889","Xidian University","Xian","China","100/85/82/78/75/72/69","4.0/3.7/3.3/3.0/2.7/2.3/2.0","A = 90-100; A- = 85-89; B+ = 82-84; B = 78-81; B- = 75-77; C+ = 72-74; C = 69-71"
"95","7210460","Xihua University","Chengdu","China","100/85/75/60","4.0/3.6/3.0/2.0","A = 85-100; B = 75-84; C = 60-74"
"357","","Xi`an University of Posts & Telecommunications","","China","100/85/82/78/75/72/68","4.0/3.7/3.3/3.0/2.7/2.3/2.0","90-100=4.0, 85-89=3.7, 82-84=3.3, 78-81=3.0, 75-77=2.7, 72-74=2.3, 68-71=2.0"
"96","7210456","Zhejiang University","Hangzhou","China","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0",""
"97","7217358","Zhejiang University of Technology","Hangzhou/Zhejiang","China","100/90/80/70","4.0/3.6/3.0/2.0","Excellent = 100-90; Good = 89-80; Medium = 79-70"
"448","","DEFAULT Colombia - 5.0-point scale","","Colombia","5/4/3","4.0/3.6/2.0","5 = A, 4 = B, 3 = C"
"402","","DEFAULT Costa Rica","","Costa Rica","10/9.5/8.5/7.5","4.0/3.6/3.0/2.0","9.5-10=A, 8.5-9.4=B, 7.5-8.4=C"
